Lev0	Jaro	Jaro_Winkler	Ratio	Sorensen	Jaccard	Lev1	Lev2	Dice2	Dice3	Dice4	CosWords	Cos2	wLev0	wJaro	wJaro_Winkler	wRatio	wSorensen	wJaccard	wLev1	wLev2	wDice2	wDice3	wDice4	wCosWords	wCos2	intercept	AUC
1	0	0	1	1	1	0	1	1	1	1	1	1	-1.92358759321	0.0	0.0	0.791592798799	-0.740277939895	-0.584918476193	0.0	0.0302482401585	2.38832411681	1.21901479239	-0.325224802133	0.956633313741	0.49750356503	-2.24853416909	0.96940923262
1	0	0	1	1	1	1	0	1	1	1	1	1	-1.96624377241	0.0	0.0	0.774070600347	-0.740454350464	-0.588926622504	0.112825280579	0.0	2.37503776579	1.21545008026	-0.322842937931	0.957493975341	0.496624863595	-2.25099008368	0.969543749703
1	0	0	1	1	1	1	1	0	1	1	1	1	-1.97860519392	0.0	0.0	1.33301472596	-0.800031456345	-0.466364903592	0.491587284964	0.329176302246	0.0	2.04109616577	-0.474414224286	1.10981182365	0.718192080602	-2.40080605644	0.967882068081
1	0	0	1	1	1	1	1	1	0	1	1	1	-1.97418871288	0.0	0.0	0.885368229526	-0.710944697777	-0.597453066742	0.159344271877	0.0252078781437	2.72635200638	0.0	0.286062305198	0.93282486385	0.604281116431	-2.2299928899	0.969013594138
1	0	0	1	1	1	1	1	1	1	0	1	1	-1.95326212844	0.0	0.0	0.804234316223	-0.722976139839	-0.598873447081	0.137808166266	0.0351558303574	2.43185817277	0.718074318268	0.0	0.942880765626	0.531053633509	-2.26703051303	0.969243064457
1	0	0	1	1	1	1	1	1	1	1	0	1	-2.18813184621	0.0	0.0	0.499053310039	-0.771014474047	-0.625602315894	0.0164693210371	-0.109967461093	3.08197093012	0.959266439872	-0.135344841844	0.0	1.42105602062	-2.2831171443	0.965334156261
1	0	0	1	1	1	1	1	1	1	1	1	0	-2.03490955879	0.0	0.0	0.849287313225	-0.729366543836	-0.571453724707	0.127980714488	-0.00333591328686	2.54376557878	1.40428788346	-0.396861126361	1.11070361305	0.0	-2.24567625142	0.970058079729
1	0	1	0	1	1	1	1	1	1	1	1	1	-1.90850665014	0.0	-0.50518883095	0.0	-0.529761662715	-0.433706597788	0.255491550023	0.162664406517	2.53711589116	1.30677110329	-0.345927787146	0.965872010522	0.513681018321	-1.73671697553	0.965492411654
1	0	1	0	0	1	1	1	1	1	1	1	1	-1.87948437932	0.0	-0.592620348932	0.0	0.0	-0.162154338673	0.250840432289	0.155289748323	2.54290195141	1.29577887629	-0.336103505376	0.972210570969	0.509063824867	-1.94913012363	0.964827739005
1	0	1	0	1	0	1	1	1	1	1	1	1	-1.90575188833	0.0	-0.577069443379	0.0	-0.140987999308	0.0	0.215829123439	0.102973189804	2.48764728944	1.30860113752	-0.351057279951	0.97133726486	0.504346502571	-1.93849722614	0.964788175157
