BBC Acting Series: Acting In Shakespearean Comedy: Janet Suzman	Bassie en Adriaan en het geheim van de schatkaart	0.265625	0.696672	0.727004	0.421053	0.213496	1	0	-2.329120
BBC Acting Series: Acting In Tragedy: Brian Cox	BBC Concert Orchestra: Learning	0.291667	0.662927	0.797756	0.475	0.267458	1	0	-2.192918
BBC Acting Series: The Complete Set: Film / Opera / Tragedy / Restoration Comedy / High Comedy / Shakespearean Comedy	Böttinger	0.076271	0.586441	0.627797	0.140625	0.213496	1	0	-2.925657
BBC Atlas Of The Natural World: Afric And Europe	Blood Feud: Blood Isn't Always Thicker Than Water	0.102041	0.644234	0.67981	0.343434	0.213496	1	0	-2.634198
BBC Atlas Of The Natural World: Collection (12-Disc)	Blood Feud: Blood Isn't Always Thicker Than Water	0.113208	0.659551	0.693596	0.330097	0.213496	1	0	-2.606848
BBC Atlas Of The Natural World: Western Hemisphere	Battle of the Sexes: in the Animal World	0.27451	0.675898	0.708308	0.413043	0.213496	1	0	-2.395587
BBC Atlas Of The Natural World: Western Hemisphere & Antarctica / Africa & Europe	Battlefield: The Battles That Won the Second World War	0.268293	0.623559	0.661203	0.379562	0.213496	1	0	-2.588094
BBC Atlas Of The Natural World: Wild Africa	Born from the Flank: Wilada Min Alkhasira	0.272727	0.645258	0.680732	0.44186	0.213496	1	0	-2.444473
BBC Big Band Orchestra: The Best Of Big Band (DVD/CD Combo)	Breakfast with the Arts (Richard Rodgers: Falling in Love)	0.166667	0.614397	0.652957	0.352941	0.213496	1	0	-2.684399
BBC Classic Comedy Collection: Black Adder, Vol. 2 & 3 / Fawlty Towers, Vol. 1 - 3 / Keeping Up Appearances, Vol. 1 / ...	Black Comedy	0.090164	0.569682	0.612714	0.177778	0.213496	1	0	-2.940719
BBC Classics Collection: Sense And Sensibility (1981) / Emma / Mansfield Park / Persuasion / Pride And Prejudice / ...	BBC 3	0.042017	0.56676	0.740056	0.08	0.213496	1	0	-2.862101
